Time,Actual,Sim,Ave a,Ave S,MRD,MAE,MSE,,7.0225,2.65,MRD,MAE,MSE,Correlation,R-Square
0:30,7.8,7.81,6.472708333,6.287916667,2.854935788,0.128205128,1E-04,0.778125,1.23649375,0.01,2.864315139,15.74688538,1.23649375,0.925475851,0.856505551
1:00,7.85,7.86,6.472708333,6.287916667,2.854935788,0.127388535,0.0001,0.778125,1.23649375,0.01,,,,,
1:30,7.88,7.89,6.472708333,6.287916667,2.854935788,0.126903553,1E-04,0.778125,1.23649375,0.01,12.82051282,,,,
2:00,7.9,7.91,6.472708333,6.287916667,2.854935788,0.126582278,1E-04,0.778125,1.23649375,0.01,0.060684,,,,
2:30,7.92,7.93,6.472708333,6.287916667,2.854935788,0.126262626,1E-04,0.778125,1.23649375,0.01,,,,,
3:00,7.9,7.91,6.472708333,6.287916667,2.854935788,0.126582278,1E-04,0.778125,1.23649375,0.01,,,,,
3:30,7.85,7.86,6.472708333,6.287916667,2.854935788,0.127388535,0.0001,0.778125,1.23649375,0.01,,,,,
4:00,8.8,9.95,6.472708333,6.287916667,2.854935788,13.06818182,1.3225,0.778125,1.23649375,1.15,,,,,
4:30,9.05,9.95,6.472708333,6.287916667,2.854935788,9.944751381,0.81,0.778125,1.23649375,0.9,,,,,
5:00,8.95,9.4,6.472708333,6.287916667,2.854935788,5.027932961,0.2025,0.778125,1.23649375,0.45,,,,,
5:30,8.85,8.82,6.472708333,6.287916667,2.854935788,0.338983051,0.0009,0.778125,1.23649375,0.03,,,,,
6:00,8.8,8.78,6.472708333,6.287916667,2.854935788,0.227272727,0.0004,0.778125,1.23649375,0.02,,,,,
6:30,4.55,3,6.472708333,6.287916667,2.854935788,34.06593407,2.4025,0.778125,1.23649375,1.55,,,,,
7:00,3.65,3,6.472708333,6.287916667,2.854935788,17.80821918,0.4225,0.778125,1.23649375,0.65,,,,,
7:30,3,2,6.472708333,6.287916667,2.854935788,33.33333333,1,0.778125,1.23649375,1,,,,,
8:00,3.05,2,6.472708333,6.287916667,2.854935788,34.42622951,1.1025,0.778125,1.23649375,1.05,,,,,
8:30,3.1,2,6.472708333,6.287916667,2.854935788,35.48387097,1.21,0.778125,1.23649375,1.1,,,,,
9:00,3.15,1.9,6.472708333,6.287916667,2.854935788,39.68253968,1.5625,0.778125,1.23649375,1.25,,,,,
