Period Temperature RelativeHumidity
0:00 18.59444 80.11111
0:02 18.59444 80.11111
0:04 18.59444 80.11111
0:06 18.59444 80.11111
0:08 18.59444 80.11111
0:10 18.59444 80.11111
0:12 18.59444 80.11111
0:14 18.59444 80.11111
0:16 18.59444 80.11111
0:18 18.59444 80.11111
0:20 18.59444 80.11111
0:22 18.59444 80.11111
0:24 18.59444 80.11111
0:26 18.59444 80.11111
0:28 18.59444 80.11111
0:30 18.59444 80.11111
0:32 18.59444 80.11111
0:34 18.59444 80.11111
0:36 18.59444 80.11111
0:38 18.59444 80.11111
0:40 18.59444 80.11111
0:42 18.59444 80.11111
0:44 18.59444 80.11111
0:46 18.59444 80.11111
0:48 18.59444 80.11111
0:50 18.59444 80.11111
0:52 18.59444 80.11111
0:54 18.59444 80.11111
0:56 18.59444 80.11111
0:58 18.41778 80.62778
1:00 18.40631 80.67037
1:02 18.39485 80.71296
1:04 18.38339 80.75555
1:06 18.37192 80.79815
1:08 18.36046 80.84074
1:10 18.349 80.88333
1:12 18.33754 80.92592
1:14 18.32607 80.96852
1:16 18.31461 81.01111
1:18 18.30315 81.0537
1:20 18.29168 81.09629
1:22 18.28022 81.13889
1:24 18.26876 81.18148
1:26 18.2573 81.22407
1:28 18.24583 81.26667
1:30 18.23437 81.30926
1:32 18.22291 81.35185
1:34 18.21144 81.39444
1:36 18.19998 81.43704
1:38 18.18852 81.47963
1:40 18.17706 81.52222
1:42 18.16559 81.56481
1:44 18.15413 81.60741
1:46 18.14267 81.65
1:48 18.1312 81.69259
1:50 18.11974 81.73518
1:52 18.10828 81.77778
1:54 18.09682 81.82037
1:56 18.08535 81.86296
1:58 18.07389 81.90556
2:00 18.06345 81.94704
2:02 18.053 81.98852
2:04 18.04256 82.03
2:06 18.03211 82.07148
2:08 18.02167 82.11296
2:10 18.01122 82.15444
2:12 18.00078 82.19593
2:14 17.99033 82.23741
2:16 17.97989 82.27889
2:18 17.96945 82.32037
2:20 17.959 82.36185
2:22 17.94856 82.40333
2:24 17.93811 82.44481
2:26 17.92767 82.4863
2:28 17.91722 82.52778
2:30 17.90678 82.56926
2:32 17.89633 82.61074
2:34 17.88589 82.65222
2:36 17.87544 82.6937
2:38 17.865 82.73519
2:40 17.85456 82.77667
2:42 17.84411 82.81815
2:44 17.83367 82.85963
2:46 17.82322 82.90111
2:48 17.81278 82.94259
2:50 17.80233 82.98407
