time,Actual,Simulation,Savings,0.423818542,7.804575441,,,,,
0:00,10.00,10.00,0.00,-9.2159,0,,,,,
0:02,10.00,10.00,0.00,8.714030211,1,,,,,420
0:04,10.00,10.00,0.00,8.885846822,2,,,,,570
0:06,10.00,10.00,0.00,8.916482571,3,,,,,
0:08,10.00,10.00,0.00,9.556509588,4,,,,,
0:10,10.00,10.00,0.00,9.17387727,5,,,,,
0:12,10.00,10.00,0.00,9.76444749,6,,,,,
0:14,10.00,10.00,0.00,9.551079499,7,,,,,
0:16,10.00,10.00,0.00,8.709100636,8,,,,,
0:18,10.00,10.00,0.00,16.65359752,9,,,,,
0:20,10.00,10.00,0.00,7.043657889,10,,,,,
0:22,10.00,10.00,0.00,8.294074079,11,,,,,
0:24,10.00,10.00,0.00,6.854811886,12,,,,,
0:26,10.00,10.00,0.00,8.630228772,13,,,,,
0:28,10.00,10.00,0.00,8.724943843,14,,,,,
0:30,10.00,10.00,0.00,8.76841548,15,,,,,
0:32,10.00,10.00,0.00,8.824600757,16,,,,,
0:34,10.00,10.00,0.00,8.737497289,17,,,,,
0:36,10.00,10.00,0.00,9.167698147,18,,,,,
0:38,10.00,10.00,0.00,8.567073788,19,,,,,
0:40,10.00,10.00,0.00,9.258565147,20,,,,,
0:42,10.00,10.00,0.00,8.790355602,21,,,,,
0:44,10.00,10.00,0.00,8.315633616,22,,,,,
0:46,10.00,10.00,0.00,8.19262097,23,,,,,
0:48,10.00,10.00,0.00,8.456947606,24,,,,,
0:50,10.00,10.00,0.00,8.743207374,25,,,,,
0:52,10.00,10.00,0.00,8.503267573,26,,,,,
0:54,10.00,10.00,0.00,8.637893314,27,,,,,
0:56,10.00,10.00,0.00,8.14195972,28,,,,,
0:58,10.01,10.01,0.00,9.260804443,29,,,,,
1:00,10.01,10.01,0.00,8.498181099,30,,,,,
1:02,10.01,10.01,0.00,8.762993888,31,,,,,
1:04,10.01,10.01,0.00,9.006380633,32,,,,,
1:06,10.01,10.01,0.00,8.662610197,33,,,,,
1:08,10.01,10.01,0.00,8.584188677,34,,,,,
1:10,10.01,10.01,0.00,9.077922479,35,,,,,
1:12,10.01,10.01,0.00,8.776963356,36,,,,,
1:14,10.01,10.01,0.00,8.551835313,37,,,,,
1:16,10.01,10.01,0.00,8.645808042,38,,,,,
1:18,10.01,10.01,0.00,8.689965285,39,,,,,
1:20,10.01,10.01,0.00,9.219653626,40,,,,,
1:22,10.01,10.01,0.00,8.960591285,41,,,,,
