Period,Winter,Summer,Winter,Summer
0:00,44.1,38.2,Off-Peak,Off-Peak
1:00,44.1,38.2,Off-Peak,Off-Peak
2:00,44.1,38.2,Off-Peak,Off-Peak
3:00,44.1,38.2,Off-Peak,Off-Peak
4:00,44.1,38.2,Off-Peak,Off-Peak
5:00,44.1,38.2,Off-Peak,Off-Peak
5:59,44.1,38.2,Off-Peak,Off-Peak
6:00,268,60.1,Peak,standard
6:59,268,60.1,Peak,standard
7:00,268,87.4,Peak,Peak
8:00,268,87.4,Peak,Peak
8:59,268,87.4,Peak,Peak
9:00,81.2,87.4,standard,Peak
9:59,81.2,87.4,standard,Peak
10:00,81.2,60.1,standard,standard
11:00,81.2,60.1,standard,standard
12:00,81.2,60.1,standard,standard
13:00,81.2,60.1,standard,standard
14:00,81.2,60.1,standard,standard
15:00,81.2,60.1,standard,standard
16:00,81.2,60.1,standard,standard
16:59,81.2,60.1,standard,standard
17:00,268,60.1,Peak,standard
17:59,268,60.1,Peak,standard
18:00,268,87.4,Peak,Peak
18:59,268,87.4,Peak,Peak
19:00,81.2,87.4,standard,Peak
19:59,81.2,87.4,standard,Peak
20:00,81.2,60.1,standard,standard
21:00,81.2,60.1,standard,standard
21:59,81.2,60.1,standard,standard
22:00,44.1,38.2,Off-Peak,Off-Peak
23:00,44.1,38.2,Off-Peak,Off-Peak
23:59,44.1,38.2,Off-Peak,Off-Peak
