time,baseline ,actual,Savings,
0:00,4.8295,4.97249,-0.14299,4.81546
0:02,4.8284,4.971862,-0.143462,5.24449
0:04,4.8273,4.971234,-0.143934,5.0443
0:06,4.8262,4.970606,-0.144406,5.03491
0:08,4.8251,4.969978,-0.144878,5.02848
0:10,4.824,4.96935,-0.14535,5.02264
0:12,4.8229,4.968722,-0.145822,5.01711
0:14,4.8218,4.968094,-0.146294,5.01273
0:16,4.8207,4.967466,-0.146766,5.01065
0:18,4.8196,4.966838,-0.147238,5.01093
0:20,4.8185,4.96621,-0.14771,5.01293
0:22,4.8174,4.965582,-0.148182,5.01598
0:24,4.8163,4.964954,-0.148654,5.01952
0:26,4.8152,4.964326,-0.149126,5.02318
0:28,4.8141,4.963698,-0.149598,5.02672
0:30,4.813,4.96307,-0.15007,5.02749
0:32,4.8119,4.962442,-0.150542,5.02721
0:34,4.8108,4.961814,-0.151014,5.02571
0:36,4.8097,4.961186,-0.151486,5.02244
0:38,4.8086,4.960558,-0.151958,5.01789
0:40,4.8075,4.95993,-0.15243,5.01255
0:42,4.8064,4.959302,-0.152902,5.00655
0:44,4.8053,4.958674,-0.153374,5.00003
0:46,4.8042,4.958046,-0.153846,4.99316
0:48,4.8031,4.957418,-0.154318,4.9861
0:50,4.802,4.95679,-0.15479,4.97896
0:52,4.8009,4.956162,-0.155262,4.97168
0:54,4.7998,4.955534,-0.155734,4.96432
0:56,4.7987,4.954906,-0.156206,4.95689
0:58,4.7976,4.954278,-0.156678,4.94945
1:00,4.7965,4.95365,-0.15715,4.94529
1:02,4.797416667,4.95463,-0.157213333,4.94294
1:04,4.798333333,4.95561,-0.157276667,4.94278
1:06,4.79925,4.95659,-0.15734,4.94489
1:08,4.800166667,4.95757,-0.157403333,4.94865
1:10,4.801083333,4.95855,-0.157466667,4.95339
1:12,4.802,4.95953,-0.15753,4.95859
1:14,4.802916667,4.96051,-0.157593333,4.96389
1:16,4.803833333,4.96149,-0.157656667,4.96904
1:18,4.80475,4.96247,-0.15772,4.97371
1:20,4.805666667,4.96345,-0.157783333,4.97763
1:22,4.806583333,4.96443,-0.157846667,4.98028
1:24,4.8075,4.96541,-0.15791,4.98117
1:26,4.808416667,4.96639,-0.157973333,4.98077
1:28,4.809333333,4.96737,-0.158036667,4.97957
1:30,4.81025,4.96835,-0.1581,4.97766
1:32,4.811166667,4.96933,-0.158163333,4.97534
1:34,4.812083333,4.97031,-0.158226667,4.97268
1:36,4.813,4.97129,-0.15829,4.96982
1:38,4.813916667,4.97227,-0.158353333,4.97198
1:40,4.814833333,4.97325,-0.158416667,4.9736
1:42,4.81575,4.97423,-0.15848,4.97169
1:44,4.816666667,4.97521,-0.158543333,4.96893
1:46,4.817583333,4.97619,-0.158606667,4.96608
1:48,4.8185,4.97717,-0.15867,4.96321
1:50,4.819416667,4.97815,-0.158733333,4.96055
1:52,4.820333333,4.97913,-0.158796667,4.95896
1:54,4.82125,4.98011,-0.15886,4.95959
1:56,4.822166667,4.98109,-0.158923333,4.9625
1:58,4.823083333,4.98207,-0.158986667,4.96706
2:00,4.824,4.98305,-0.15905,4.97142
2:02,4.8244,4.982624667,-0.158224667,4.97667
2:04,4.8248,4.982199333,-0.157399333,4.98224
2:06,4.8252,4.981774,-0.156574,4.98769
2:08,4.8256,4.981348667,-0.155748667,4.99268
2:10,4.826,4.980923333,-0.154923333,4.99695
2:12,4.8264,4.980498,-0.154098,4.99996
2:14,4.8268,4.980072667,-0.153272667,5.00122
2:16,4.8272,4.979647333,-0.152447333,5.00122
2:18,4.8276,4.979222,-0.151622,5.00043
2:20,4.828,4.978796667,-0.150796667,4.99898
2:22,4.8284,4.978371333,-0.149971333,4.99704
2:24,4.8288,4.977946,-0.149146,4.99474
2:26,4.8292,4.977520667,-0.148320667,4.99225
2:28,4.8296,4.977095333,-0.147495333,4.98986
2:30,4.83,4.97667,-0.14667,4.98502
2:32,4.8304,4.976244667,-0.145844667,4.97802
2:34,4.8308,4.975819333,-0.145019333,4.97054
2:36,4.8312,4.975394,-0.144194,4.96296
2:38,4.8316,4.974968667,-0.143368667,4.95533
2:40,4.832,4.974543333,-0.142543333,4.9479
2:42,4.8324,4.974118,-0.141718,4.9415
2:44,4.8328,4.973692667,-0.140892667,4.93727
2:46,4.8332,4.973267333,-0.140067333,4.93528
2:48,4.8336,4.972842,-0.139242,4.93488
2:50,4.834,4.972416667,-0.138416667,4.93543
2:52,4.8344,4.971991333,-0.137591333,4.93638
2:54,4.8348,4.971566,-0.136766,4.93738
2:56,4.8352,4.971140667,-0.135940667,4.93819
2:58,4.8356,4.970715333,-0.135115333,4.93847
3:00,4.836,4.97029,-0.13429,4.9399
3:02,4.835683333,4.980061,-0.144377667,4.94063
3:04,4.835366667,4.989832,-0.154465333,4.93962
3:06,4.83505,4.999603,-0.164553,4.93731
3:08,4.834733333,5.009374,-0.174640667,4.93419
3:10,4.834416667,5.019145,-0.184728333,4.93037
3:12,4.8341,5.028916,-0.194816,4.92602
3:14,4.833783333,5.038687,-0.204903667,4.92126
3:16,4.833466667,5.048458,-0.214991333,4.91628
3:18,4.83315,5.058229,-0.225079,4.91134
3:20,4.832833333,5.068,-0.235166667,4.90636
3:22,4.832516667,5.077771,-0.245254333,4.90119
3:24,4.8322,5.087542,-0.255342,4.89589
3:26,4.831883333,5.097313,-0.265429667,4.89049
3:28,4.831566667,5.107084,-0.275517333,4.88503
3:30,4.83125,5.116855,-0.285605,4.8803
3:32,4.830933333,5.126626,-0.295692667,4.87799
