time,Actual,Simulation,MAE,MSE,,MAE %,MSE ,MR %,Coef,R-square
0:00,4.601281738,4.71351,2.439065208,0.012595183,,2.775101443,0.028635509,0.569222873,0.953435377,0.909039018
0:02,4.601724255,5.38235,16.96376623,0.609376554,,,,,,
0:04,4.602166772,5.09868,10.78868395,0.246525386,,,,,,
0:06,4.602609289,5.04685,9.651931831,0.197349809,,,,,,
0:08,4.603051806,5.01764,9.006811382,0.171883371,,,,,,
0:10,4.603494323,4.99059,8.408735839,0.149843063,,,,,,
0:12,4.60393684,4.96575,7.858777663,0.130908763,,,,,,
0:14,4.604379357,4.95023,7.511341186,0.119612667,,,,,,
0:16,4.604821875,4.94105,7.301653226,0.113049352,,,,,,
0:18,4.605264392,4.93179,7.090268445,0.106618973,,,,,,
0:20,4.605706909,4.92077,6.840710823,0.099264751,,,,,,
0:22,4.606149426,4.90877,6.569925246,0.091579212,,,,,,
0:24,4.606591943,4.89597,6.281825275,0.08373966,,,,,,
0:26,4.60703446,4.88377,6.006804212,0.076582559,,,,,,
0:28,4.607476977,4.87134,5.726844091,0.069623695,,,,,,
0:30,4.607919494,4.85609,5.385738755,0.0615886,,,,,,
0:32,4.605498229,4.83755,5.038581267,0.053848024,,,,,,
0:34,4.603076965,4.81452,4.59351509,0.044708157,,,,,,
0:36,4.6006557,4.79239,4.1675429,0.036762042,,,,,,
0:38,4.598234435,4.77511,3.846597373,0.031284965,,,,,,
0:40,4.595813171,4.76005,3.573618485,0.026973736,,,,,,
0:42,4.593391906,4.74611,3.324734687,0.023322816,,,,,,
0:44,4.590970641,4.73379,3.110875023,0.020397369,,,,,,
0:46,4.588549377,4.72222,2.913134675,0.017867835,,,,,,
0:48,4.586128112,4.71258,2.757268984,0.01599008,,,,,,
0:50,4.583706847,4.70271,2.596220853,0.01416175,,,,,,
0:52,4.581285583,4.69312,2.441114289,0.012506937,,,,,,
0:54,4.578864318,4.68417,2.299820975,0.011089287,,,,,,
0:56,4.576443053,4.6752,2.157941131,0.009752935,,,,,,
0:58,4.574021789,4.66728,2.038866785,0.008697094,,,,,,
1:00,4.571600524,4.66399,2.02094377,0.008535815,,,,,,
1:02,4.573059195,4.67017,2.123541394,0.009430508,,,,,,
1:04,4.574517866,4.68145,2.337560747,0.011434481,,,,,,
1:06,4.575976538,4.69138,2.521941733,0.013317959,,,,,,
1:08,4.577435209,4.6984,2.642632511,0.014632481,,,,,,
1:10,4.57889388,4.7033,2.716947002,0.015476883,,,,,,
1:12,4.580352551,4.70629,2.749514314,0.015860241,,,,,,
1:14,4.581811222,4.70873,2.770056902,0.016108376,,,,,,
1:16,4.583269894,4.70989,2.762658733,0.016032651,,,,,,
1:18,4.584728565,4.70934,2.717967558,0.01552801,,,,,,
1:20,4.586187236,4.70795,2.654988943,0.014826171,,,,,,
1:22,4.587645907,4.70144,2.480446297,0.012949096,,,,,,
1:24,4.589104578,4.69431,2.292504348,0.011068181,,,,,,
1:26,4.59056325,4.69051,2.177221935,0.009989353,,,,,,
1:28,4.592021921,4.68763,2.08204753,0.009140905,,,,,,
1:30,4.593480592,4.68472,1.986280472,0.00832463,,,,,,
1:32,4.594910182,4.68237,1.903406477,0.00764922,,,,,,
1:34,4.596339771,4.67994,1.81884354,0.006988998,,,,,,
1:36,4.597769361,4.67882,1.762825245,0.006569206,,,,,,
1:38,4.599198951,4.65152,1.137612214,0.002737492,,,,,,
1:40,4.600628541,4.63235,0.689502722,0.001006251,,,,,,
1:42,4.60205813,4.63507,0.717328401,0.001089784,,,,,,
1:44,4.60348772,4.64188,0.833982457,0.001473967,,,,,,
1:46,4.60491731,4.64719,0.917990208,0.00178698,,,,,,
1:48,4.6063469,4.6522,0.995433062,0.002102507,,,,,,
1:50,4.607776489,4.65771,1.083679105,0.002493356,,,,,,
1:52,4.609206079,4.66961,1.310505974,0.003648634,,,,,,
1:54,4.610635669,4.68557,1.625249453,0.005615154,,,,,,
1:56,4.612065259,4.70002,1.907057599,0.007736036,,,,,,
1:58,4.613494848,4.71148,2.123881249,0.00960109,,,,,,
2:00,4.614924438,4.7195,2.266029778,0.010936048,,,,,,
2:02,4.614824991,4.71942,2.266500013,0.010940116,,,,,,
2:04,4.614725545,4.7179,2.235765789,0.010644968,,,,,,
2:06,4.614626098,4.71584,2.19332834,0.010244254,,,,,,
2:08,4.614526651,4.73287,2.564582631,0.014005148,,,,,,
2:10,4.614427205,4.74078,2.738211903,0.015965029,,,,,,
2:12,4.614327758,4.74377,2.805224266,0.016755294,,,,,,
2:14,4.614228311,4.74502,2.834530071,0.017106466,,,,,,
2:16,4.614128865,4.74521,2.840864199,0.017182264,,,,,,
2:18,4.614029418,4.74473,2.832677691,0.017082642,,,,,,
2:20,4.613929971,4.74363,2.811053263,0.016822098,,,,,,
2:22,4.613830525,4.74207,2.779457856,0.016445363,,,,,,
2:24,4.613731078,4.74016,2.740275059,0.015984272,,,,,,
2:26,4.613631631,4.73808,2.697405839,0.015487397,,,,,,
2:28,4.613532185,4.73606,2.655835271,0.015013065,,,,,,
2:30,4.613432738,4.7317,2.563541482,0.013987145,,,,,,
2:32,4.610213671,4.72456,2.480282632,0.013075083,,,,,,
2:34,4.606994603,4.71655,2.378023124,0.012002385,,,,,,
2:36,4.603775536,4.70839,2.272362394,0.010944186,,,,,,
2:38,4.600556469,4.70019,2.16568434,0.00992684,,,,,,
2:40,4.597337401,4.69215,2.062337191,0.008989429,,,,,,
2:42,4.594118334,4.68505,1.979306134,0.008268568,,,,,,
2:44,4.590899267,4.67993,1.939287443,0.007926471,,,,,,
2:46,4.587680199,4.67707,1.948474983,0.007990537,,,,,,
2:48,4.584461132,4.67554,1.986686447,0.00829536,,,,,,
2:50,4.581242065,4.67497,2.045906627,0.008784926,,,,,,
