time,Actual,Simulation,Savings,0.921059429,7.804575441
0:00,10,10.92159,-0.92159,-9.2159,
0:02,11.78628,10.75922,1.02706,8.714030211,
0:04,11.80484,10.75588,1.04896,8.885846822,
0:06,11.80544,10.75281,1.05263,8.916482571,
0:08,11.90037,10.76311,1.13726,9.556509588,
0:10,11.86216,10.77394,1.08822,9.17387727,
0:12,11.97907,10.80938,1.16969,9.76444749,
0:14,11.99121,10.84592,1.14529,9.551079499,
0:16,11.90697,10.86998,1.03699,8.709100636,
0:18,13.12251,10.93714,2.18537,16.65359752,
0:20,11.74404,10.91683,0.82721,7.043657889,
0:22,11.82736,10.84639,0.98097,8.294074079,
0:24,11.72534,10.92159,0.80375,6.854811886,
0:26,11.77547,10.75922,1.01625,8.630228772,
0:28,11.78403,10.75588,1.02815,8.724943843,
0:30,11.78628,10.75281,1.03347,8.76841548,
0:32,11.80484,10.76311,1.04173,8.824600757,
0:34,11.80544,10.77394,1.0315,8.737497289,
0:36,11.90037,10.80938,1.09099,9.167698147,
0:38,11.86216,10.84592,1.01624,8.567073788,
0:40,11.97907,10.86998,1.10909,9.258565147,
0:42,11.99121,10.93714,1.05407,8.790355602,
0:44,11.90697,10.91683,0.99014,8.315633616,
0:46,11.81429,10.84639,0.9679,8.19262097,
0:48,11.78262,10.78617,0.99645,8.456947606,
0:50,11.79956,10.7679,1.03166,8.743207374,
0:52,11.74572,10.74695,0.99877,8.503267573,
0:54,11.71964,10.70731,1.01233,8.637893314,
0:56,11.59033,10.64665,0.94368,8.14195972,
0:58,11.69704,10.6138,1.08324,9.260804443,
1:00,11.6279,10.63974,0.98816,8.498181099,
1:02,11.62662,10.60778,1.01884,8.762993888,
1:04,11.67439,10.62295,1.05144,9.006380633,
1:06,11.64395,10.63528,1.00867,8.662610197,
1:08,11.59865,10.603,0.99565,8.584188677,
1:10,11.66236,10.60366,1.0587,9.077922479,
1:12,11.65517,10.6322,1.02297,8.776963356,
1:14,11.6002,10.60817,0.99203,8.551835313,
1:16,11.57347,10.57285,1.00062,8.645808042,
1:18,11.55977,10.55523,1.00454,8.689965285,
1:20,11.65098,10.5768,1.07418,9.219653626,
1:22,11.67356,10.62754,1.04602,8.960591285,
1:24,11.57472,10.60714,0.96758,8.359424677,
