time,Actual,Simulation,Improvement,3.657969827,
0:00,400,400,NaN,399.88,NaN
0:02,400,400,NaN,400.75,NaN
0:04,400,400,NaN,400.75,NaN
0:06,400,400,NaN,401.04,NaN
0:08,400,400,NaN,401.33,NaN
0:10,400,400,NaN,400.46,NaN
0:12,400,400,NaN,400.46,NaN
0:14,400,400,NaN,399.88,NaN
0:16,400,400,NaN,400.46,NaN
0:18,400,400,NaN,400.75,NaN
0:20,400,409.9824,NaN,399.59,NaN
0:22,400,402.90822,NaN,400.46,NaN
0:24,400,405.38626,NaN,400.75,NaN
0:26,400,400.10097,NaN,400.46,NaN
0:28,400,400.17251,NaN,400.46,NaN
0:30,400,399.88675,NaN,399.59,NaN
0:32,400,399.65852,NaN,399.02,NaN
0:34,400.8943266,399.95472,NaN,399.02,NaN
0:36,398.7090462,398.32762,NaN,398.44,NaN
0:38,399.5239295,400.59186,NaN,399.02,NaN
0:40,398.0459974,397.92478,NaN,399.31,NaN
0:42,398.973123,399.73334,NaN,399.02,NaN
0:44,399.7558355,401.26773,NaN,399.02,NaN
0:46,399.9679201,401.61418,NaN,400.75,NaN
0:48,399.519084,400.69301,NaN,400.46,NaN
0:50,399.1120238,399.97173,NaN,399.59,NaN
0:52,399.6391672,401.004,NaN,398.15,NaN
0:54,399.3762239,400.46891,NaN,397.57,NaN
0:56,400.3545458,402.29743,NaN,397.57,NaN
0:58,398.2814619,398.2871,NaN,398.15,NaN
1:00,399.7572871,401.08795,NaN,399.02,NaN
1:02,399.1942796,400.03942,NaN,399.59,NaN
1:04,398.7705814,399.18967,NaN,400.46,NaN
1:06,399.4498844,400.53647,NaN,400.75,NaN
1:08,399.5622369,400.76154,NaN,400.75,NaN
1:10,398.6423841,398.90769,NaN,400.75,NaN
1:12,399.257234,400.15389,NaN,401.04,NaN
1:14,399.6547798,400.90291,NaN,402.2,NaN
1:16,399.4358621,400.42863,NaN,402.2,NaN
1:18,399.3808308,400.29829,NaN,402.49,NaN
1:20,398.4354485,398.53125,NaN,402.49,NaN
1:22,398.9764135,399.55871,NaN,402.49,NaN
1:24,399.9575757,401.49049,NaN,402.2,NaN
1:26,398.3679903,398.42601,NaN,401.04,NaN
1:28,398.9413566,399.51117,NaN,399.59,NaN
1:30,399.2633899,400.19152,NaN,399.59,NaN
1:32,399.3115621,400.23274,NaN,399.59,NaN
1:34,398.5944975,398.83617,NaN,400.75,NaN
1:36,398.9802608,399.55733,NaN,400.75,NaN
1:38,399.1133353,399.90684,NaN,400.46,NaN
1:40,398.7378778,399.18455,NaN,399.88,NaN
1:42,399.729355,401.05404,NaN,399.88,NaN
1:44,399.5805787,400.78176,NaN,400.46,NaN
1:46,398.8726891,399.37434,NaN,399.59,NaN
1:48,399.0752301,399.85494,NaN,400.46,NaN
1:50,398.8466466,399.34396,NaN,400.75,NaN
1:52,399.7654013,401.17218,NaN,401.04,NaN
1:54,399.7695782,401.15128,NaN,401.04,NaN
1:56,398.6133668,398.85787,NaN,401.04,NaN
1:58,398.5067329,398.72149,NaN,400.75,NaN
2:00,398.8888352,399.49525,NaN,400.75,NaN
2:02,399.6719801,400.97653,NaN,399.88,NaN
2:04,399.394464,400.44356,NaN,399.31,NaN
2:06,399.1448317,400.00672,NaN,398.44,NaN
2:08,399.5052327,400.62069,NaN,397.86,NaN
2:10,399.2042809,400.00392,NaN,397.86,NaN
2:12,399.4089835,400.42428,NaN,398.15,NaN
2:14,399.3959993,400.42559,NaN,399.59,NaN
2:16,398.2214496,398.14282,NaN,400.46,NaN
2:18,399.3358237,400.29961,NaN,399.59,NaN
2:20,398.5665836,398.82254,NaN,399.59,NaN
2:22,400.5451993,402.64952,NaN,399.59,NaN
2:24,398.7003953,399.05777,NaN,400.46,NaN
2:26,399.2164852,400.11672,NaN,400.75,NaN
2:28,398.9661751,399.56145,NaN,400.46,NaN
2:30,399.4391931,400.52497,NaN,400.46,NaN
2:32,399.5740962,400.76997,NaN,399.59,NaN
2:34,399.4710038,400.5342,NaN,399.59,NaN
2:36,398.6862393,398.97825,NaN,398.44,NaN
2:38,398.5579755,398.74036,NaN,399.02,NaN
2:40,398.8189959,399.28398,NaN,399.31,NaN
2:42,399.1973245,400.10998,NaN,399.88,NaN
2:44,399.6257042,400.85211,NaN,399.59,NaN
2:46,398.4934041,398.66983,NaN,400.46,NaN
2:48,399.6419426,400.89652,NaN,401.04,NaN
2:50,399.0458378,399.80194,NaN,399.88,NaN
2:52,399.4755776,400.66526,NaN,401.33,NaN
2:54,398.9193744,399.50743,NaN,402.2,NaN
2:56,399.6054254,400.8548,NaN,402.49,NaN
2:58,399.1978409,399.99305,NaN,402.49,NaN
3:00,399.5841102,400.7314,NaN,400.75,NaN
3:02,398.8041347,399.26119,NaN,400.75,NaN
3:04,398.7765967,399.20296,NaN,401.04,NaN
3:06,398.8463679,399.39588,NaN,400.46,NaN
3:08,399.1962291,400.12023,NaN,400.46,NaN
3:10,399.8733937,401.37772,NaN,400.46,NaN
3:12,398.8513921,399.37983,NaN,400.75,NaN
3:14,399.5773214,400.77896,NaN,400.46,NaN
3:16,398.8043294,399.24633,NaN,399.88,NaN
3:18,399.3834732,400.36472,NaN,399.88,NaN
3:20,399.1330215,399.91187,NaN,400.46,NaN
3:22,398.6651588,398.94649,NaN,399.88,NaN
3:24,398.4637105,398.62341,NaN,399.59,NaN
3:26,399.801798,401.28002,NaN,399.02,NaN
3:28,399.0956062,399.89713,NaN,399.31,NaN
3:30,399.5753212,400.79388,NaN,400.46,NaN
3:32,399.2133147,400.08342,NaN,399.02,NaN
3:34,399.3855226,400.42475,NaN,398.44,NaN
3:36,399.2270926,400.10234,NaN,398.44,NaN
3:38,399.0040994,399.60497,NaN,400.46,NaN
3:40,398.6412115,399.00811,NaN,401.04,NaN
3:42,399.1602357,399.94627,NaN,400.75,NaN
3:44,399.7005903,401.03282,NaN,400.75,NaN
3:46,398.6299203,398.9275,NaN,401.91,NaN
3:48,399.1737259,400.02183,NaN,401.33,NaN
3:50,399.4686515,400.60653,NaN,400.75,NaN
3:52,398.9289721,399.52115,NaN,400.46,NaN
3:54,399.7214801,401.08113,NaN,399.59,NaN
3:56,399.0346661,399.72595,NaN,399.88,NaN
3:58,399.0967915,399.84418,NaN,399.88,NaN
4:00,399.1352337,399.87799,NaN,400.46,NaN
4:02,398.552892,398.80212,NaN,400.75,NaN
4:04,398.9787668,399.63707,NaN,400.75,NaN
4:06,398.9490042,399.56571,NaN,400.75,NaN
