time,Actual,Simulation,Error
0:00,399.02,398.19273,0.207325447
0:02,399.59,399.93477,0.086280938
0:04,399.02,399.27385,0.063618365
0:06,398.44,398.66788,0.057193053
0:08,398.44,398.6132,0.043469531
0:10,399.31,399.42347,0.028416518
0:12,399.88,399.9507,0.017680304
0:14,400.46,400.50442,0.011092244
0:16,399.88,399.90831,0.007079624
0:18,400.46,400.47847,0.004612196
0:20,399.88,399.89196,0.002990897
0:22,399.59,399.59757,0.001894442
0:24,398.44,398.44375,0.000941171
0:26,398.44,398.44399,0.001001405
0:28,398.44,398.44146,0.000366429
0:30,397.86,397.86057,0.000143266
0:32,396.99,396.98906,0.000236782
0:34,397.86,397.86008,2.01076E-05
0:36,397.86,397.86124,0.000311667
0:38,397.86,397.85943,0.000143266
0:40,399.59,399.5922,0.000550564
0:42,400.75,400.75305,0.000761073
0:44,401.33,401.33069,0.000171928
0:46,401.33,401.32807,0.000480901
0:48,400.46,400.4563,0.000923937
0:50,399.88,399.87551,0.001122837
0:52,400.75,400.74555,0.001110418
0:54,400.75,400.74593,0.001015596
0:56,400.46,400.45441,0.001395895
0:58,399.88,399.874,0.00150045
1:00,400.46,400.45517,0.001206113
1:02,400.75,400.74616,0.000958203
1:04,400.46,400.45726,0.000684213
1:06,400.75,400.74599,0.001000624
1:08,400.46,400.45582,0.0010438
1:10,400.75,400.74707,0.000731129
1:12,401.04,401.03773,0.000566028
1:14,399.59,399.58553,0.001118647
1:16,399.59,399.58581,0.001048575
1:18,399.02,399.01554,0.001117738
1:20,398.15,398.14573,0.00107246
1:22,397.86,397.8561,0.000980244
1:24,397.86,397.85616,0.000965164
1:26,399.02,399.01777,0.000558869
1:28,399.02,399.01941,0.000147862
1:30,399.59,399.58849,0.000377887
1:32,400.46,400.45914,0.000214753
1:34,399.88,399.87856,0.000360108
1:36,400.75,400.74979,5.24017E-05
1:38,400.75,400.74809,0.000476606
1:40,400.46,400.45803,0.000491934
1:42,400.46,400.45774,0.000564351
