time,Actual,Simulation,Error,0.894072273
0:00,399.02,396.15851,0.717129467,400
0:02,399.59,400.35657,0.191839135,400
0:04,399.02,400.25451,0.309385494,400
0:06,398.44,400.21952,0.446621825,400
0:08,398.44,400.18668,0.438379681,400
0:10,399.31,400.13528,0.206676517,400
0:12,399.88,400.08956,0.052405722,400
0:14,400.46,400.05379,0.101435849,400
0:16,399.88,400.03307,0.038278984,400
0:18,400.46,400.0204,0.10977376,400
0:20,399.88,400.01313,0.033292488,400
0:22,399.59,400.00562,0.104011612,400
0:24,398.44,400.00789,0.393507178,400
0:26,398.44,399.99911,0.391303584,400
0:28,398.44,400.00267,0.392197069,400
0:30,397.86,400.00043,0.537985724,400
0:32,396.99,400.00035,0.75829366,400
0:34,397.86,399.99846,0.537490575,400
0:36,397.86,399.99769,0.537297039,400
0:38,397.86,400.0015,0.538254662,400
0:40,399.59,399.99501,0.10135639,400
0:42,400.75,400.00227,0.186582658,400
0:44,401.33,400.00157,0.331006902,400
0:46,401.33,399.99989,0.33142551,400
0:48,400.46,399.99659,0.115719423,400
0:50,399.88,399.99486,0.028723617,400
0:52,400.75,399.99622,0.188092327,400
0:54,400.75,399.99639,0.188049906,400
0:56,400.46,399.9982,0.115317385,400
0:58,399.88,399.99006,0.027523257,400
1:00,400.46,399.99702,0.115612046,400
1:02,400.75,399.99525,0.188334373,400
1:04,400.46,399.99516,0.116076512,400
1:06,400.75,399.99693,0.187915159,400
1:08,400.46,399.99771,0.115439744,400
1:10,400.75,399.99391,0.188668746,400
1:12,401.04,399.99791,0.259846898,400
1:14,399.59,399.99905,0.102367427,400
1:16,399.59,399.99511,0.101381416,400
1:18,399.02,399.9967,0.244774698,400
1:20,398.15,399.99375,0.463079241,400
1:22,397.86,399.99709,0.537146232,400
1:24,397.86,399.99936,0.537716785,400
1:26,399.02,399.99351,0.243975239,400
1:28,399.02,400.00034,0.245686933,400
1:30,399.59,399.99833,0.102187242,400
1:32,400.46,399.99792,0.115387305,400
1:34,399.88,399.99645,0.029121236,400
1:36,400.75,399.99683,0.187940112,400
1:38,400.75,399.99729,0.187825328,400
1:40,400.46,399.9956,0.115966638,400
1:42,400.46,399.99976,0.114927833,400
1:44,399.88,399.99732,0.029338802,400
1:46,399.88,399.99454,0.028643593,400
1:48,399.59,399.99719,0.101901949,400
1:50,399.31,399.99702,0.172051789,400
1:52,399.31,399.99886,0.172512584,400
1:54,398.44,399.99795,0.391012449,400
1:56,398.44,399.99306,0.389785162,400
1:58,399.59,399.99578,0.101549088,400
2:00,401.04,399.99845,0.259712248,400
2:02,401.33,400.00095,0.331161388,400
2:04,401.33,399.99718,0.332100765,400
2:06,401.91,399.99604,0.476216068,400
2:08,402.2,399.997,0.547737444,400
2:10,402.2,399.99546,0.548120338,400
2:12,402.2,399.99691,0.547759821,400
2:14,402.2,399.99516,0.548194928,400
2:16,401.91,399.99298,0.476977433,400
2:18,401.04,399.99868,0.259654897,400
2:20,401.04,399.99467,0.260654798,400
2:22,399.88,400.00288,0.030729219,400
2:24,400.75,399.99212,0.189115409,400
2:26,400.75,399.99838,0.187553337,400
2:28,400.75,399.99615,0.188109794,400
2:30,401.04,399.99753,0.259941652,400
2:32,400.75,399.99763,0.187740487,400
2:34,399.31,399.99722,0.172101876,400
2:36,398.44,399.99327,0.389837868,400
2:38,397.86,399.99519,0.536668677,400
2:40,398.15,399.99732,0.463975888,400
2:42,399.02,399.99814,0.245135582,400
2:44,399.31,400.0001,0.17282312,400
2:46,399.31,399.99553,0.171678646,400
2:48,399.59,399.99951,0.102482545,400
2:50,400.46,399.99554,0.115981621,400
2:52,400.75,399.99792,0.187668122,400
2:54,401.04,399.99512,0.260542589,400
2:56,400.46,399.99869,0.115195026,400
2:58,399.59,399.99532,0.10143397,400
3:00,399.02,399.99654,0.2447346,400
3:02,398.15,399.99438,0.463237473,400
3:04,398.44,399.99559,0.390420139,400
3:06,399.31,399.99745,0.172159475,400
3:08,400.46,399.99846,0.11525246,400
3:10,401.33,399.99981,0.331445444,400
3:12,401.33,399.99444,0.332783495,400
3:14,401.33,399.99752,0.332016047,400
3:16,401.04,399.99406,0.260806902,400
3:18,399.88,399.99773,0.029441332,400
3:20,399.31,399.99522,0.171601012,400
3:22,398.15,399.99507,0.463410775,400
3:24,399.02,399.99541,0.244451406,400
3:26,399.31,400.0018,0.173248854,400
3:28,399.88,399.99659,0.029156247,400
3:30,400.75,399.99852,0.187518403,400
3:32,400.46,399.99804,0.115357339,400
3:34,400.75,399.99599,0.188149719,400
3:36,400.75,399.99607,0.188129757,400
3:38,400.46,399.9954,0.116016581,400
3:40,400.75,399.99495,0.188409233,400
3:42,400.46,399.99761,0.115464716,400
3:44,399.88,399.99845,0.029621386,400
3:46,399.88,399.99404,0.028518556,400
3:48,400.46,399.99778,0.115422264,400
3:50,399.88,399.99868,0.029678904,400
3:52,399.88,399.99521,0.028811143,400
3:54,399.31,399.99866,0.172462498,400
3:56,398.44,399.99515,0.390309708,400
3:58,398.15,399.99625,0.463707146,400
4:00,397.86,399.99647,0.536990399,400
4:02,397.86,399.99546,0.53673654,400
4:04,398.44,399.99837,0.39111786,400
4:06,399.02,399.99836,0.245190717,400
4:08,399.59,399.99872,0.102284842,400
4:10,400.75,399.99761,0.187745477,400
4:12,401.91,399.99925,0.475417382,400
4:14,401.33,399.99954,0.33151272,400
4:16,401.04,399.99509,0.26055007,400
4:18,401.04,399.99382,0.260866746,400
4:20,401.04,399.99879,0.259627469,400
4:22,400.46,399.9983,0.115292414,400
4:24,399.88,399.99668,0.029178754,400
4:26,399.88,399.99327,0.028325998,400
4:28,399.88,399.99749,0.029381314,400
4:30,401.04,399.99552,0.260442849,400
4:32,402.78,399.9962,0.691146532,400
4:34,401.91,400.00205,0.474720709,400
4:36,401.91,399.99407,0.476706228,400
4:38,401.91,399.99538,0.476380284,400
4:40,401.91,399.99746,0.475862755,400
4:42,401.04,399.99742,0.25996908,400
4:44,401.33,399.99295,0.33315476,400
4:46,401.04,399.99852,0.259694794,400
4:48,399.59,399.99483,0.101311344,400
4:50,398.44,399.99654,0.390658568,400
4:52,399.02,399.9921,0.243621874,400
4:54,399.59,399.99668,0.101774319,400
4:56,399.59,400.00003,0.102612678,400
4:58,401.33,399.99734,0.332060898,400
5:00,400.46,400.00208,0.114348499,400
5:02,399.59,399.99827,0.102172227,400
5:04,399.59,399.99532,0.10143397,400
5:06,399.31,399.99419,0.171343067,400
5:08,399.02,399.99614,0.244634354,400
5:10,400.46,399.99664,0.115706937,400
5:12,400.46,400.00282,0.114163712,400
5:14,400.75,399.99738,0.18780287,400
5:16,400.46,400.00113,0.114585726,400
5:18,401.91,399.99528,0.476405165,400
5:20,400.75,400.00281,0.18644791,400
5:22,401.04,399.99295,0.261083682,400
5:24,402.2,399.99562,0.548080557,400
5:26,402.2,400.00204,0.546484336,400
5:28,401.91,399.99715,0.475939887,400
5:30,401.04,399.99883,0.259617495,400
5:32,399.88,399.99743,0.02936631,400
5:34,399.88,399.99712,0.029288787,400
5:36,399.31,399.99505,0.171558438,400
5:38,399.31,399.99806,0.172312239,400
5:40,399.59,400.00037,0.102697765,400
5:42,399.59,399.9977,0.10202958,400
5:44,398.44,399.99853,0.391158016,400
5:46,399.31,399.9952,0.171596003,400
5:48,399.59,399.99846,0.102219775,400
5:50,401.04,399.99706,0.260058847,400
5:52,402.49,399.99736,0.619304827,400
5:54,402.49,399.99984,0.618688663,400
5:56,402.2,399.99615,0.547948782,400
5:58,401.91,399.99768,0.475808017,400
6:00,401.04,399.99631,0.260245861,400
6:02,400.46,399.99657,0.115724417,400
6:04,399.88,399.99813,0.029541362,400
6:06,400.75,399.99637,0.188054897,400
6:08,401.33,399.9981,0.331871527,400
