time,Actual,Simulation,MAE,MSE,0.21989575,0.430133972,MAE %,MSE ,MR %,Coef,R-square
0:00,41.0625,42.62729,3.810751903,2.448567744,-1.56479,1.56479,1.02386738,0.284017189,0.52794492,0.994576152,0.989181722
0:02,41.525,42.73956,2.924888621,1.475155994,-1.21456,1.21456,,,,,
0:04,41.35,42.15103,1.93719468,0.641649061,-0.80103,0.80103,,,,,
0:06,41.55,42.07383,1.260722022,0.274397869,-0.52383,0.52383,,,,,
0:08,41.575,41.9494,0.900541191,0.14017536,-0.3744,0.3744,,,,,
0:10,41.7,41.98754,0.689544365,0.082679252,-0.28754,0.28754,,,,,
0:12,41.575,41.73183,0.377221888,0.024595649,-0.15683,0.15683,,,,,
0:14,41.725,41.78155,0.135530258,0.003197903,-0.05655,0.05655,,,,,
0:16,41.8375,41.68801,0.357311025,0.02234726,0.14949,0.14949,,,,,
0:18,41.7,41.68264,0.041630695,0.00030137,0.01736,0.01736,,,,,
0:20,41.7,41.52446,0.420959233,0.030814292,0.17554,0.17554,,,,,
0:22,42.0125,41.80065,0.504254686,0.044880423,0.21185,0.21185,,,,,
0:24,41.35,41.14448,0.497025393,0.04223847,0.20552,0.20552,,,,,
0:26,41.725,41.58262,0.341234272,0.020272064,0.14238,0.14238,,,,,
0:28,41.6625,41.52628,0.326960696,0.018555888,0.13622,0.13622,,,,,
0:30,41.6375,41.43237,0.49265686,0.042078317,0.20513,0.20513,,,,,
0:32,41.6375,41.39304,0.58711498,0.059760692,0.24446,0.24446,,,,,
0:34,41.7,41.65074,0.118129496,0.002426548,0.04926,0.04926,,,,,
0:36,42.1625,41.92201,0.570388378,0.05783544,0.24049,0.24049,,,,,
0:38,41.875,41.68422,0.45559403,0.036397008,0.19078,0.19078,,,,,
0:40,42.675,42.54489,0.304885764,0.016928612,0.13011,0.13011,,,,,
0:42,42.7125,42.50379,0.488639157,0.043559864,0.20871,0.20871,,,,,
0:44,42.3875,42.1659,0.522795636,0.04910656,0.2216,0.2216,,,,,
0:46,42.0125,41.78867,0.532770009,0.050099869,0.22383,0.22383,,,,,
0:48,41.8375,41.5415,0.707499253,0.087616,0.296,0.296,,,,,
0:50,41.8375,41.57553,0.626160741,0.068628281,0.26197,0.26197,,,,,
0:52,41.6375,41.58567,0.124479135,0.002686349,0.05183,0.05183,,,,,
0:54,41.575,41.43191,0.344173181,0.020474748,0.14309,0.14309,,,,,
0:56,40.9375,40.87323,0.15699542,0.004130633,0.06427,0.06427,,,,,
0:58,41.525,41.32856,0.473064419,0.038588674,0.19644,0.19644,,,,,
1:00,41.15,41.15809,0.019659781,6.54E-05,-0.00809,0.00809,,,,,
1:02,41.2375,41.19887,0.093676872,0.001492277,0.03863,0.03863,,,,,
1:04,41.4375,41.29683,0.339475113,0.019788049,0.14067,0.14067,,,,,
