time,Actual,Simulation,MAE,MSE,,MAE %,MSE ,MR %,Coef,R-square
0:00,399.02,398.19273,0.207325447,0.684375653,,0.00156061,0.00136237,0.000545366,0.999996767,0.999993534
0:02,399.59,399.93477,0.086280938,0.118866353,,,,,,
0:04,399.02,399.27385,0.063618365,0.064439823,,,,,,
0:06,398.44,398.66788,0.057193053,0.051929294,,,,,,
0:08,398.44,398.6132,0.043469531,0.02999824,,,,,,
0:10,399.31,399.42347,0.028416518,0.012875441,,,,,,
0:12,399.88,399.9507,0.017680304,0.00499849,,,,,,
0:14,400.46,400.50442,0.011092244,0.001973136,,,,,,
0:16,399.88,399.90831,0.007079624,0.000801456,,,,,,
0:18,400.46,400.47847,0.004612196,0.000341141,,,,,,
0:20,399.88,399.89196,0.002990897,0.000143042,,,,,,
0:22,399.59,399.59757,0.001894442,5.73049E-05,,,,,,
0:24,398.44,398.44375,0.000941171,1.40625E-05,,,,,,
0:26,398.44,398.44399,0.001001405,1.59201E-05,,,,,,
0:28,398.44,398.44146,0.000366429,2.1316E-06,,,,,,
0:30,397.86,397.86057,0.000143266,3.249E-07,,,,,,
0:32,396.99,396.98906,0.000236782,8.836E-07,,,,,,
0:34,397.86,397.86008,2.01076E-05,6.4E-09,,,,,,
0:36,397.86,397.86124,0.000311667,1.5376E-06,,,,,,
0:38,397.86,397.85943,0.000143266,3.249E-07,,,,,,
0:40,399.59,399.5922,0.000550564,4.84E-06,,,,,,
0:42,400.75,400.75305,0.000761073,9.3025E-06,,,,,,
0:44,401.33,401.33069,0.000171928,4.761E-07,,,,,,
0:46,401.33,401.32807,0.000480901,3.7249E-06,,,,,,
0:48,400.46,400.4563,0.000923937,1.369E-05,,,,,,
0:50,399.88,399.87551,0.001122837,2.01601E-05,,,,,,
0:52,400.75,400.74555,0.001110418,1.98025E-05,,,,,,
0:54,400.75,400.74593,0.001015596,1.65649E-05,,,,,,
0:56,400.46,400.45441,0.001395895,3.12481E-05,,,,,,
0:58,399.88,399.874,0.00150045,3.6E-05,,,,,,
1:00,400.46,400.45517,0.001206113,2.33289E-05,,,,,,
1:02,400.75,400.74616,0.000958203,1.47456E-05,,,,,,
1:04,400.46,400.45726,0.000684213,7.5076E-06,,,,,,
1:06,400.75,400.74599,0.001000624,1.60801E-05,,,,,,
1:08,400.46,400.45582,0.0010438,1.74724E-05,,,,,,
1:10,400.75,400.74707,0.000731129,8.5849E-06,,,,,,
1:12,401.04,401.03773,0.000566028,5.1529E-06,,,,,,
1:14,399.59,399.58553,0.001118647,1.99809E-05,,,,,,
1:16,399.59,399.58581,0.001048575,1.75561E-05,,,,,,
1:18,399.02,399.01554,0.001117738,1.98916E-05,,,,,,
1:20,398.15,398.14573,0.00107246,1.82329E-05,,,,,,
1:22,397.86,397.8561,0.000980244,1.521E-05,,,,,,
1:24,397.86,397.85616,0.000965164,1.47456E-05,,,,,,
1:26,399.02,399.01777,0.000558869,4.9729E-06,,,,,,
1:28,399.02,399.01941,0.000147862,3.481E-07,,,,,,
1:30,399.59,399.58849,0.000377887,2.2801E-06,,,,,,
1:32,400.46,400.45914,0.000214753,7.396E-07,,,,,,
1:34,399.88,399.87856,0.000360108,2.0736E-06,,,,,,
1:36,400.75,400.74979,5.24017E-05,4.41E-08,,,,,,
1:38,400.75,400.74809,0.000476606,3.6481E-06,,,,,,
1:40,400.46,400.45803,0.000491934,3.8809E-06,,,,,,
1:42,400.46,400.45774,0.000564351,5.1076E-06,,,,,,
1:44,399.88,399.87701,0.000747724,8.9401E-06,,,,,,
1:46,399.88,399.87701,0.000747724,8.9401E-06,,,,,,
1:48,399.59,399.58666,0.000835857,1.11556E-05,,,,,,
1:50,399.31,399.30673,0.000818913,1.06929E-05,,,,,,
1:52,399.31,399.3064,0.000901555,1.296E-05,,,,,,
1:54,398.44,398.43433,0.00142305,3.21489E-05,,,,,,
1:56,398.44,398.43584,0.001044072,1.73056E-05,,,,,,
1:58,399.59,399.5892,0.000200205,6.4E-07,,,,,,
2:00,401.04,401.03985,3.74028E-05,2.25E-08,,,,,,
2:02,401.33,401.32777,0.000555652,4.9729E-06,,,,,,
2:04,401.33,401.32801,0.000495851,3.9601E-06,,,,,,
2:06,401.91,401.90731,0.000669304,7.2361E-06,,,,,,
2:08,402.2,402.19688,0.000775733,9.7344E-06,,,,,,
2:10,402.2,402.19735,0.000658876,7.0225E-06,,,,,,
2:12,402.2,402.19607,0.000977126,1.54449E-05,,,,,,
2:14,402.2,402.19613,0.000962208,1.49769E-05,,,,,,
2:16,401.91,401.90688,0.000776293,9.7344E-06,,,,,,
2:18,401.04,401.03687,0.000780471,9.7969E-06,,,,,,
2:20,401.04,401.03683,0.000790445,1.00489E-05,,,,,,
2:22,399.88,399.87456,0.001360408,2.95936E-05,,,,,,
2:24,400.75,400.74692,0.000768559,9.4864E-06,,,,,,
2:26,400.75,400.74717,0.000706176,8.0089E-06,,,,,,
2:28,400.75,400.74679,0.000800998,1.03041E-05,,,,,,
2:30,401.04,401.03699,0.000750549,9.0601E-06,,,,,,
2:32,400.75,400.74677,0.000805989,1.04329E-05,,,,,,
2:34,399.31,399.30449,0.00137988,3.03601E-05,,,,,,
2:36,398.44,398.43418,0.001460697,3.38724E-05,,,,,,
2:38,397.86,397.8561,0.000980244,1.521E-05,,,,,,
2:40,398.15,398.14804,0.000492277,3.8416E-06,,,,,,
2:42,399.02,399.01839,0.000403489,2.5921E-06,,,,,,
2:44,399.31,399.30793,0.000518394,4.2849E-06,,,,,,
2:46,399.31,399.30835,0.000413213,2.7225E-06,,,,,,
2:48,399.59,399.58826,0.000435446,3.0276E-06,,,,,,
2:50,400.46,400.45791,0.0005219,4.3681E-06,,,,,,
2:52,400.75,400.74681,0.000796007,1.01761E-05,,,,,,
2:54,401.04,401.03724,0.000688211,7.6176E-06,,,,,,
2:56,400.46,400.45649,0.000876492,1.23201E-05,,,,,,
2:58,399.59,399.58546,0.001136165,2.06116E-05,,,,,,
3:00,399.02,399.01514,0.001217984,2.36196E-05,,,,,,
3:02,398.15,398.14477,0.001313575,2.73529E-05,,,,,,
