time,Actual,Simulation,Error,0.978335647,MAE,MSE,,MAE %,MSE ,MR %,Coef,R-square
0:00,399.02,400.45895,0.360621022,402,0.360621022,2.070577103,,0.978335647,34.39860309,0.709590021,0.943591274,0.890364492
0:02,399.59,400.45895,0.217460397,400,0.217460397,0.755074103,,,,,,
0:04,399.02,400.27623,0.314828831,400,0.314828831,1.578113813,,,,,,
0:06,398.44,400.24135,0.452100693,400,0.452100693,3.244861823,,,,,,
0:08,398.44,400.21433,0.445319245,400,0.445319245,3.148246949,,,,,,
0:10,399.31,400.17092,0.215601913,400,0.215601913,0.741183246,,,,,,
0:12,399.88,400.11394,0.058502551,400,0.058502551,0.054727924,,,,,,
0:14,400.46,400.07571,0.095962144,400,0.095962144,0.147678804,,,,,,
0:16,399.88,400.04606,0.041527458,400,0.041527458,0.027575924,,,,,,
0:18,400.46,400.02678,0.108180592,400,0.108180592,0.187679568,,,,,,
0:20,399.88,400.01527,0.033827648,400,0.033827648,0.018297973,,,,,,
0:22,399.59,400.01406,0.106123777,400,0.106123777,0.179826884,,,,,,
0:24,398.44,399.99904,0.391286015,400,0.391286015,2.430605722,,,,,,
0:26,398.44,400.00848,0.393655255,400,0.393655255,2.46012951,,,,,,
0:28,398.44,400.00135,0.391865777,400,0.391865777,2.437813823,,,,,,
0:30,397.86,400.00101,0.538131504,400,0.538131504,4.58392382,,,,,,
0:32,396.99,400.00121,0.75851029,400,0.75851029,9.067385664,,,,,,
0:34,397.86,400.00182,0.538335093,400,0.538335093,4.587392912,,,,,,
0:36,397.86,400.00353,0.538764892,400,0.538764892,4.594720861,,,,,,
0:38,397.86,399.99617,0.536914995,400,0.536914995,4.563222269,,,,,,
0:40,399.59,400.01143,0.105465602,400,0.105465602,0.177603245,,,,,,
0:42,400.75,399.99835,0.187560823,400,0.187560823,0.564977722,,,,,,
0:44,401.33,399.99221,0.333339147,400,0.333339147,1.789682084,,,,,,
0:46,401.33,399.99113,0.333608253,400,0.333608253,1.792572877,,,,,,
0:48,400.46,399.99257,0.116723268,400,0.116723268,0.218490805,,,,,,
0:50,399.88,399.99554,0.028893668,400,0.028893668,0.013349492,,,,,,
0:52,400.75,399.99347,0.18877854,400,0.18877854,0.572337641,,,,,,
0:54,400.75,399.99242,0.189040549,400,0.189040549,0.573927456,,,,,,
0:56,400.46,399.98756,0.11797433,400,0.11797433,0.223199554,,,,,,
0:58,399.88,399.99799,0.029506352,400,0.029506352,0.01392164,,,,,,
1:00,400.46,399.99205,0.116853119,400,0.116853119,0.218977202,,,,,,
1:02,400.75,399.99498,0.188401747,400,0.188401747,0.5700552,,,,,,
1:04,400.46,399.99711,0.115589572,400,0.115589572,0.214267152,,,,,,
1:06,400.75,399.99365,0.188733624,400,0.188733624,0.572065322,,,,,,
1:08,400.46,399.99245,0.116753234,400,0.116753234,0.218603002,,,,,,
1:10,400.75,399.99849,0.187525889,400,0.187525889,0.56476728,,,,,,
1:12,401.04,399.99443,0.260714642,400,0.260714642,1.093216625,,,,,,
1:14,399.59,399.9913,0.100427939,400,0.100427939,0.16104169,,,,,,
1:16,399.59,399.99663,0.101761806,400,0.101761806,0.165347957,,,,,,
1:18,399.02,399.99453,0.244230866,400,0.244230866,0.949708721,,,,,,
1:20,398.15,399.99884,0.464357654,400,0.464357654,3.418209346,,,,,,
1:22,397.86,399.99857,0.537518222,400,0.537518222,4.573481645,,,,,,
1:24,397.86,399.99249,0.535990047,400,0.535990047,4.5475136,,,,,,
1:26,399.02,400.00395,0.24659165,400,0.24659165,0.968157602,,,,,,
1:28,399.02,399.99579,0.244546639,400,0.244546639,0.952166124,,,,,,
1:30,399.59,399.99701,0.101856903,400,0.101856903,0.16565714,,,,,,
1:32,400.46,399.99605,0.115854268,400,0.115854268,0.215249602,,,,,,
1:34,399.88,399.99897,0.029751425,400,0.029751425,0.014153861,,,,,,
1:36,400.75,400.00004,0.187139114,400,0.187139114,0.562440002,,,,,,
1:38,400.75,399.99683,0.187940112,400,0.187940112,0.567265049,,,,,,
1:40,400.46,399.9992,0.115067672,400,0.115067672,0.21233664,,,,,,
1:42,400.46,399.99433,0.116283774,400,0.116283774,0.216848549,,,,,,
1:44,399.88,399.99374,0.028443533,400,0.028443533,0.012936788,,,,,,
1:46,399.88,399.99984,0.029968991,400,0.029968991,0.014361626,,,,,,
1:48,399.59,399.9958,0.101554093,400,0.101554093,0.16467364,,,,,,
1:50,399.31,399.99823,0.172354812,400,0.172354812,0.473660533,,,,,,
1:52,399.31,399.99254,0.170929854,400,0.170929854,0.465860852,,,,,,
1:54,398.44,399.99141,0.389371047,400,0.389371047,2.406872988,,,,,,
1:56,398.44,400.00073,0.39171017,400,0.39171017,2.435878133,,,,,,
