time,Actual,Simulation,Error
0:00,41.0625,42.62729,3.670864369
0:02,41.525,42.73956,2.841770014
0:04,41.35,42.15103,1.900380608
0:06,41.55,42.07383,1.245025708
0:08,41.575,41.9494,0.892503826
0:10,41.7,41.98754,0.684822212
0:12,41.575,41.73183,0.375804272
0:14,41.725,41.78155,0.135346822
0:16,41.8375,41.68801,0.358592315
0:18,41.7,41.68264,0.041648034
0:20,41.7,41.52446,0.422738791
0:22,42.0125,41.80065,0.506810301
0:24,41.35,41.14448,0.499508075
0:26,41.725,41.58262,0.342402667
0:28,41.6625,41.52628,0.328033236
0:30,41.6375,41.43237,0.495095984
0:32,41.6375,41.39304,0.590582378
0:34,41.7,41.65074,0.118269207
0:36,42.1625,41.92201,0.573660471
0:38,41.875,41.68422,0.457679189
0:40,42.675,42.54489,0.305818161
0:42,42.7125,42.50379,0.491038564
0:44,42.3875,42.1659,0.525543152
0:46,42.0125,41.78867,0.535623651
0:48,41.8375,41.5415,0.712540472
0:50,41.8375,41.57553,0.630106219
0:52,41.6375,41.58567,0.124634279
0:54,41.575,41.43191,0.345361824
0:56,40.9375,40.87323,0.157242283
0:58,41.525,41.32856,0.475312955
1:00,41.15,41.15809,0.019655917
1:02,41.2375,41.19887,0.093764708
1:04,41.4375,41.29683,0.340631472
1:06,41.2625,41.22092,0.100871111
1:08,41.0625,40.988,0.181760515
1:10,41.4375,41.36807,0.167834758
1:12,41.35,41.29553,0.131902896
1:14,40.975,40.78131,0.47494796
1:16,40.9125,40.90106,0.027969935
1:18,40.8,40.74179,0.142875411
1:20,41.15,40.99706,0.373051141
1:22,41.15,41.06564,0.205427214
1:24,40.7125,40.73818,0.063036689
1:26,41.35,41.40454,0.131724685
1:28,41.375,41.2867,0.213870326
1:30,41.35,41.33319,0.040669496
1:32,41.375,41.38887,0.033511425
1:34,41.6625,41.45315,0.505027965
1:36,41.7875,41.72711,0.144726055
1:38,41.7875,41.62146,0.398928822
1:40,41.9875,41.74942,0.570259419
1:42,41.6375,41.49543,0.342375052
1:44,41.4375,41.26213,0.425014414
1:46,41.6625,41.51689,0.350724729
1:48,41.6375,41.46155,0.424369084
1:50,41.7875,41.58578,0.485069656
1:52,41.4125,41.31015,0.247759933
1:54,41.0875,40.94053,0.358984117
1:56,41.4875,41.37563,0.270376548
1:58,41.875,41.83201,0.102768191
2:00,42.075,42.03227,0.101659986
2:02,41.7875,41.65622,0.315151015
2:04,41.725,41.5704,0.371899236
2:06,41.8125,41.71053,0.244470641
2:08,41.6625,41.55306,0.263374105
2:10,41.7,41.55048,0.359851439
2:12,41.575,41.44786,0.306746838
2:14,41.4875,41.376,0.269479892
2:16,42.0125,41.77474,0.569147767
2:18,41.725,41.46869,0.618080774
2:20,42.075,41.85842,0.517410834
2:22,41.15,40.95942,0.465289792
2:24,41.6625,41.62453,0.091220249
2:26,41.575,41.44977,0.302124716
2:28,41.7,41.55315,0.353402811
2:30,41.55,41.46415,0.207046328
2:32,41.35,41.23103,0.288544817
2:34,41.1125,40.89947,0.520862495
2:36,41.35,41.16412,0.451558299
2:38,41.575,41.38316,0.463570206
2:40,41.725,41.61046,0.275267325
2:42,41.725,41.67932,0.109598717
2:44,41.525,41.44601,0.190585294
2:46,41.95,41.76031,0.454235134
2:48,41.6375,41.53623,0.243811246
2:50,41.8375,41.77072,0.159872753
2:52,41.6625,41.5573,0.253144454
2:54,41.875,41.73277,0.34081131
2:56,41.55,41.36225,0.453916313
2:58,41.525,41.30696,0.527852933
3:00,41.2625,41.12706,0.32932089
3:02,41.4375,41.23662,0.487139829
3:04,41.6375,41.53974,0.235340905
3:06,41.8375,41.77356,0.153063325
3:08,41.875,41.83784,0.088819117
3:10,41.575,41.55719,0.042856603
3:12,41.8375,41.6702,0.401485954
3:14,41.575,41.45361,0.292833362
3:16,41.8125,41.61526,0.473960754
3:18,41.55,41.29607,0.614901127
3:20,41.55,41.36599,0.444834029
3:22,41.725,41.43899,0.690195393
3:24,42.125,42.00943,0.275104899
3:26,41.7,41.5906,0.263040206
3:28,41.875,41.76846,0.255072847
3:30,41.725,41.68109,0.105347533
3:32,41.725,41.54322,0.437568393
3:34,41.6375,41.54021,0.234206808
3:36,41.6375,41.50682,0.314839826
3:38,41.725,41.54502,0.433216785
3:40,42.0125,41.84987,0.388603358
3:42,41.925,41.70868,0.51864504
3:44,41.575,41.38556,0.457744199
3:46,41.95,41.7636,0.446321677
3:48,41.925,41.81151,0.271432436
3:50,41.7,41.48866,0.509392205
3:52,41.875,41.70173,0.41549835
3:54,41.4875,41.31528,0.416843357
3:56,41.55,41.3319,0.527679589
3:58,41.55,41.40156,0.358537215
4:00,41.55,41.40205,0.357349455
4:02,41.875,41.70327,0.411790251
4:04,41.95,41.83432,0.276519375
4:06,42.1,41.95675,0.341423013
4:08,42.3,42.11767,0.432906189
4:10,42.45,42.30987,0.331199316
4:12,42.425,42.28816,0.323589392
4:14,42.075,41.79177,0.677717168
4:16,42.125,41.86779,0.614338612
4:18,42.45,42.16697,0.671212563
4:20,42.1625,41.9311,0.55185769
4:22,41.7875,41.55484,0.559886646
4:24,41.575,41.38175,0.4669933
4:26,41.875,41.69843,0.423445199
4:28,41.725,41.57573,0.359031579
4:30,41.95,41.90093,0.117109573
4:32,42.3,42.25851,0.098181408
4:34,41.6625,41.42285,0.578545416
4:36,41.725,41.5773,0.355241923
4:38,41.6625,41.5262,0.328226517
4:40,41.4125,41.32026,0.223231896
4:42,41.0625,40.93052,0.322448872
4:44,41.35,41.30694,0.104243984
4:46,40.9125,40.87722,0.086307239
4:48,40.8625,40.70182,0.394773502
