date,C1 Power,Total  Power, Eta,Eta 2,IST Powe
9/1/2016,3147.890056,11803.4937,3.470549279,6.008966135,
9/2/2016,2985.248366,11579.05862,3.472739103,6.004387785,
9/5/2016,3169.868464,12009.03025,3.463985109,6.02135252,
9/6/2016,3247.159763,12035.68858,3.456380533,6.034585851,
9/7/2016,3231.766034,12130.01384,3.448626584,6.049397781,
9/8/2016,3436.841131,12394.81409,3.421730909,6.096329361,
9/9/2016,3292.99676,12225.96413,3.445296284,6.055062304,
9/12/2016,3216.814469,11707.28047,3.438217288,6.065569909,
9/13/2016,3087.287696,11727.16113,3.437835513,6.06564658,
9/14/2016,3005.81576,11692.83866,3.437835513,6.06564658,
9/15/2016,3100.144372,11847.06025,3.423874306,6.091506717,
9/16/2016,3049.164665,11694.60223,3.425435106,6.087974976,
9/19/2016,2984.982877,12101.03828,3.446963246,6.049949076,
9/20/2016,3281.922891,12601.52179,3.445164068,6.055083625,
9/21/2016,3331.339665,12601.63941,3.427398423,6.087558437,
9/22/2016,3313.685908,12551.77186,3.402315882,6.132015089,
9/23/2016,3252.120489,12495.71955,3.390944176,6.151642754,
9/26/2016,3269.945391,12406.0143,3.408272221,6.120150364,
9/27/2016,3281.751355,12620.54434,3.39646006,6.141946851,
9/28/2016,3446.641061,13052.78031,3.404145262,6.128828002,
9/29/2016,3351.376327,10515.02194,3.344653748,6.255025748,
9/30/2016,3386.574846,13041.64211,3.370235023,6.190196454,
10/3/2016,3398.943771,12860.15172,3.379960574,6.171058528,
10/4/2016,3392.032151,12966.88589,3.383651912,6.164602701,
10/5/2016,3158.138142,12231.39384,3.35377279,6.21909961,
10/6/2016,3026.655209,12262.19962,3.340680931,6.242887929,
10/7/2016,3210.682165,12487.79796,3.354807358,6.216731621,
10/10/2016,3261.829316,12636.36538,3.354182435,6.217828004,
10/11/2016,3162.6825,12353.26876,3.373265806,6.182717144,
10/12/2016,3376.869944,12617.28081,3.389483034,6.154049008,
10/13/2016,3350.173673,12788.43106,3.368616288,6.191420766,
10/14/2016,3439.175084,12789.22201,3.382633756,6.166501289,
10/17/2016,3465.50419,13485.47299,3.320018783,6.281014336,
10/18/2016,3469.54405,13535.808,3.3403801,6.242878694,
10/19/2016,3464.91426,13705.25286,3.337836283,6.24837179,
10/20/2016,3447.327081,12938.25117,3.359972213,6.207198279,
10/21/2016,3051.656913,12074.38665,3.359972213,5.910222278,
10/24/2016,3204.679316,12181.04996,3.370448081,6.186976437,
10/25/2016,3020.636159,11663.53256,3.389443869,6.153141987,
10/26/2016,2893.155098,11308.4067,3.411230785,6.11491228,
10/27/2016,3219.991257,11874.65891,3.350111477,6.227800617,
10/28/2016,3141.446187,11982.70205,3.366636969,6.194972539,
10/31/2016,3314.065559,11804.30832,3.459222875,6.030274251,
11/1/2016,3298.937025,12054.18208,3.463631175,6.023501081,11652.41247
11/2/2016,3393.634637,12531.49404,3.451180389,6.046341141,12392.10069
11/3/2016,3398.473603,12460.24696,3.442908086,6.059187698,12061.17042
11/4/2016,3091.304741,12372.50645,3.442908086,6.059187698,11980.62774
11/7/2016,3382.333561,12235.12373,3.429231979,6.082449814,11857.80988
11/8/2016,2811.831648,11861.72334,3.639038774,5.757974681,12178.96658
11/9/2016,2248.603687,11435.27434,3.639038774,5.757974681,12433.39064
11/10/2016,2094.771858,10903.74761,3.827011204,5.451662453,11792.43089
11/11/2016,2173.885768,11120.90279,3.827011204,5.451662453,12088.74136
11/14/2016,2097.511285,10439.73556,3.865466973,5.397250572,11387.55771
11/15/2016,2078.912123,10410.85975,3.915712358,5.328456114,11401.30096
11/16/2016,2079.038478,10051.69909,3.976947772,5.261495124,11096.51206
11/17/2016,2213.213017,10108.37841,3.962505941,5.278167445,11076.25801
11/18/2016,2259.629567,10764.66458,3.889331088,5.366552084,11707.90202
11/19/2016,2285.291578,11188.79725,3.864998339,5.399221772,12459.92586
11/20/2016,1720.100251,9843.850349,3.681928596,5.743898815,12361.21284
11/21/2016,2266.687221,11541.51723,3.829691587,5.448353344,12327.73143
11/22/2016,2256.516006,11409.31482,3.829114973,5.45151951,12188.39333
11/23/2016,2258.301145,11406.91531,3.83939562,5.435912282,11933.05548
11/24/2016,2237.595419,10400.10619,4.300620569,4.880028512,11609.2327
11/25/2016,2207.529078,10054.76792,4.300620569,4.828992507,11964.97708
11/28/2016,2206.454735,10098.26587,4.231071735,4.963639438,11757.27992
11/29/2016,2189.119972,9977.672528,4.36683901,4.781638995,
11/30/2016,2074.676215,10012.70552,4.36683901,4.916762632,
12/1/2016,2173.95067,10938.86902,4.004785152,5.24542521,
12/2/2016,2143.292025,11983.75746,3.670951753,5.748123373,
12/5/2016,2261.475656,13021.59675,3.324698596,6.274802117,
12/6/2016,2253.731103,12927.65838,3.343977376,6.240123801,
12/7/2016,2216.491243,12308.94848,3.564859487,5.88568015,
12/8/2016,2240.280093,12050.92743,3.715864702,5.613866897,
12/9/2016,2240.280093,12050.92743,3.715864702,5.613866897,
